Date,Open,High,Low,Close,Adj Close,Volume
2017-08-25,2.420000,2.430000,2.420000,2.430000,2.306534,2000
2017-08-28,2.450000,2.450000,2.450000,2.450000,2.325517,5000
2017-08-29,2.430000,2.430000,2.410000,2.430000,2.306534,9900
2017-08-30,2.430000,2.430000,2.430000,2.430000,2.306534,0
2017-08-31,2.480000,2.500000,2.480000,2.500000,2.372977,10800
2017-09-01,2.400000,2.420000,2.400000,2.420000,2.297042,270300
2017-09-05,2.370000,2.370000,2.330000,2.330000,2.211614,15500
2017-09-06,2.380000,2.390000,2.350000,2.350000,2.230598,100200
2017-09-07,2.460000,2.460000,2.460000,2.460000,2.335009,1000
2017-09-08,2.430000,2.430000,2.400000,2.400000,2.278058,10000
2017-09-11,2.440000,2.440000,2.370000,2.370000,2.249582,25700
2017-09-12,2.460000,2.570000,2.460000,2.470000,2.344501,800
2017-09-13,2.470000,2.470000,2.470000,2.470000,2.344501,0
2017-09-14,2.470000,2.480000,2.460000,2.460000,2.335009,12300
2017-09-15,2.470000,2.510000,2.470000,2.510000,2.382469,10500
2017-09-18,2.480000,2.550000,2.460000,2.550000,2.420436,69600
2017-09-19,2.500000,2.500000,2.470000,2.470000,2.344501,131500
2017-09-20,2.430000,2.500000,2.430000,2.500000,2.372977,29300
2017-09-21,2.550000,2.550000,2.550000,2.550000,2.420436,45800
2017-09-22,2.550000,2.550000,2.550000,2.550000,2.420436,25100
2017-09-25,2.550000,2.550000,2.550000,2.550000,2.420436,0
2017-09-26,2.490000,2.490000,2.490000,2.490000,2.363485,500
2017-09-27,2.520000,2.520000,2.480000,2.480000,2.353993,348800
2017-09-28,2.480000,2.480000,2.480000,2.480000,2.353993,0
2017-09-29,2.530000,2.530000,2.510000,2.510000,2.382469,1000
2017-10-02,2.480000,2.480000,2.480000,2.480000,2.353993,15700
2017-10-03,2.480000,2.480000,2.480000,2.480000,2.353993,0
2017-10-04,2.560000,2.560000,2.560000,2.560000,2.429928,57300
2017-10-05,2.560000,2.560000,2.560000,2.560000,2.429928,0
2017-10-06,2.450000,2.450000,2.420000,2.420000,2.297042,12100
2017-10-09,2.420000,2.420000,2.420000,2.420000,2.297042,0
2017-10-10,2.420000,2.420000,2.420000,2.420000,2.297042,80300
2017-10-11,2.560000,2.560000,2.560000,2.560000,2.429928,4400
2017-10-12,2.490000,2.560000,2.470000,2.470000,2.344501,51700
2017-10-13,2.540000,2.540000,2.480000,2.480000,2.353993,394100
2017-10-16,2.550000,2.560000,2.550000,2.560000,2.429928,6100
2017-10-17,2.560000,2.560000,2.560000,2.560000,2.429928,2600
2017-10-18,2.480000,2.560000,2.460000,2.560000,2.429928,11300
2017-10-19,2.470000,2.470000,2.470000,2.470000,2.344501,2300
2017-10-20,2.560000,2.560000,2.520000,2.560000,2.429928,60400
2017-10-23,2.560000,2.560000,2.560000,2.560000,2.429928,0
2017-10-24,2.560000,2.560000,2.560000,2.560000,2.429928,0
2017-10-25,2.530000,2.620000,2.530000,2.550000,2.420436,5400
2017-10-26,2.550000,2.550000,2.550000,2.550000,2.420436,0
2017-10-27,2.450000,2.450000,2.450000,2.450000,2.325517,23500
2017-10-30,2.400000,2.450000,2.400000,2.450000,2.325517,14400
2017-10-31,2.370000,2.430000,2.370000,2.400000,2.278058,9400
2017-11-01,2.380000,2.380000,2.360000,2.360000,2.240090,3400
2017-11-02,2.350000,2.350000,2.350000,2.350000,2.230598,2600
2017-11-03,2.350000,2.350000,2.350000,2.350000,2.230598,0
2017-11-06,2.350000,2.350000,2.350000,2.350000,2.230598,8700
2017-11-07,2.380000,2.380000,2.350000,2.350000,2.230598,425500
2017-11-08,2.430000,2.440000,2.430000,2.440000,2.316025,1300
2017-11-09,2.440000,2.440000,2.440000,2.440000,2.316025,0
2017-11-10,2.440000,2.440000,2.440000,2.440000,2.316025,0
2017-11-13,2.310000,2.320000,2.310000,2.310000,2.192631,4800
2017-11-14,2.470000,2.470000,2.300000,2.300000,2.183139,21000
2017-11-15,2.370000,2.370000,2.370000,2.370000,2.249582,301800
2017-11-16,2.390000,2.390000,2.370000,2.390000,2.268566,5500
2017-11-17,2.370000,2.370000,2.370000,2.370000,2.249582,1300
2017-11-20,2.440000,2.440000,2.420000,2.420000,2.297042,4200
2017-11-21,2.430000,2.450000,2.420000,2.420000,2.297042,40200
2017-11-22,2.450000,2.450000,2.420000,2.420000,2.297042,10400
2017-11-24,2.450000,2.450000,2.450000,2.450000,2.325517,31000
2017-11-27,2.460000,2.460000,2.440000,2.440000,2.316025,1200
2017-11-28,2.390000,2.420000,2.390000,2.400000,2.278058,14400
2017-11-29,2.520000,2.570000,2.510000,2.510000,2.382469,48400
2017-11-30,2.530000,2.550000,2.530000,2.550000,2.420436,43300
2017-12-01,0.010000,2.550000,0.010000,2.550000,2.420436,3000
2017-12-04,2.540000,2.540000,2.540000,2.540000,2.410944,71000
2017-12-05,2.490000,2.560000,2.490000,2.510000,2.382469,24500
2017-12-06,2.510000,2.510000,2.510000,2.510000,2.382469,3200
2017-12-07,2.490000,2.600000,2.490000,2.600000,2.467896,6300
2017-12-08,2.540000,2.600000,2.540000,2.600000,2.467896,109300
2017-12-11,2.600000,2.640000,2.570000,2.570000,2.439420,40400
2017-12-12,2.580000,2.650000,2.580000,2.650000,2.515356,91300
2017-12-13,2.680000,2.720000,2.640000,2.640000,2.505864,179000
2017-12-14,2.650000,2.740000,2.640000,2.740000,2.600783,53900
2017-12-15,2.630000,2.630000,2.610000,2.610000,2.477388,9700
2017-12-18,2.690000,2.700000,2.690000,2.700000,2.562815,295400
2017-12-19,2.680000,2.680000,2.650000,2.650000,2.515356,13600
2017-12-20,2.690000,2.730000,2.650000,2.650000,2.515356,20500
2017-12-21,2.700000,2.700000,2.650000,2.650000,2.515356,400
2017-12-22,2.640000,2.640000,2.640000,2.640000,2.505864,23600
2017-12-26,2.660000,2.670000,2.660000,2.670000,2.534340,46000
2017-12-27,2.670000,2.670000,2.670000,2.670000,2.534340,0
2017-12-28,2.630000,2.640000,2.630000,2.630000,2.496372,31700
2017-12-29,2.650000,2.740000,2.650000,2.740000,2.600783,296700
2018-01-02,2.740000,2.740000,2.740000,2.740000,2.600783,0
2018-01-03,2.790000,2.790000,2.790000,2.790000,2.648242,500
